name,commit,author,entities
APMHome,1424,25,12
Acme-Champions,375,7,29
Axon-trader,240,13,8
ExtremeWorld,700,4,40
FengHuang,1780,5,45
Skoolie,172,2,15
SoloMusic,91,5,14
TwitterAutomationWebApp,175,3,22
blended-workflow,747,12,49
cloudstreetmarket.com,126,5,20
cloudunit,2430,30,18
echo,293,9,39
edition,1450,12,69
fenixedu-academic,36745,152,487
hexie,496,10,92
irida,17431,31,59
jewelry,448,5,45
keta-custom,127,2,13
luna,117,3,53
market-manage,1255,5,43
quizzes-tutor,423,6,13
reddit-app,244,3,9
ruanfan,332,3,57
splunkwithaws,2163,22,123
spring-cloud-gray,250,5,8
spring-framework-petclinic,526,35,4
webofneeds,11577,54,14
xs2a,4125,56,18
