complexity	cohesion
1215.88	0.82
1215.88	0.82
1215.88	0.82
1215.88	0.82
1283.77	0.82
1283.77	0.82
1299.62	0.81
1299.62	0.8
1299.62	0.8
1299.62	0.8
1299.83	0.82
1299.83	0.82
1299.83	0.82
1299.83	0.82
1299.83	0.82
1484.26	0.84
1582.26	0.81
1583.49	0.79
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1601.03	0.8
1602.18	0.79
1602.39	0.81
1617.09	0.81
1617.09	0.81
1617.09	0.81
1617.09	0.81
1617.09	0.81
1617.09	0.81
1618.24	0.79
1618.24	0.79
1618.24	0.79
1618.24	0.79
1618.24	0.79
1618.45	0.81
1618.45	0.81
1618.45	0.81
1618.45	0.81
1618.45	0.81
1637.4	0.83
1637.91	0.81
1637.91	0.81
1639.29	0.8
1639.29	0.8
1639.29	0.8
1673.03	0.78
1743.19	0.78
1743.19	0.78
1744.35	0.76
1744.35	0.76
1744.35	0.76
1744.35	0.76
1744.35	0.76
1744.35	0.76
1744.35	0.76
1744.35	0.76
1744.41	0.81
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1744.55	0.79
1758.99	0.77
1758.99	0.77
1758.99	0.77
1759.23	0.81
1759.23	0.81
1759.23	0.81
1759.23	0.81
1759.23	0.81
1759.23	0.81
1759.23	0.81
1759.23	0.81
1759.23	0.81
1759.23	0.81
1760.61	0.8
1760.61	0.8
1760.61	0.8
1760.61	0.8
1760.61	0.8
1763.21	0.8
1763.21	0.8
1763.21	0.8
1763.21	0.8
1763.21	0.77
1763.21	0.8
1763.21	0.77
1766.17	0.79
1767.33	0.8
1767.33	0.8
1767.33	0.8
1767.33	0.8
1767.33	0.8
1767.33	0.8
1767.33	0.8
1772.88	0.82
1772.88	0.82
1835.62	0.76
1835.87	0.79
1835.87	0.79
1835.87	0.79
1836.59	0.8
1836.59	0.8
1836.59	0.8
1836.59	0.8
1836.59	0.8
1837.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.77
1838.74	0.75
1838.74	0.75
1838.95	0.78
1838.95	0.78
1838.95	0.78
1844.5	0.82
1844.5	0.82
1844.5	0.82
1935.06	0.8
1947.38	0.76
1947.38	0.76
1947.38	0.76
1947.38	0.76
1947.38	0.76
1947.38	0.76
1947.38	0.76
1947.38	0.76
1947.58	0.79
1947.58	0.79
1947.58	0.79
1947.58	0.79
1947.58	0.79
1947.58	0.79
1947.58	0.79
2019.35	0.77
2019.35	0.77
2019.35	0.77
2019.55	0.79
2019.55	0.79
2071.1	0.82
2071.1	0.82
2071.1	0.82
2078.13	0.8
2078.13	0.8
2087.69	0.8
2087.69	0.8
2094.19	0.81
2094.19	0.81
2094.19	0.81
2107.72	0.79
2107.72	0.79
2107.72	0.79
2107.74	0.76
2139.52	0.8
2213.51	0.8
2213.51	0.8
2213.51	0.8
2213.51	0.8
2213.51	0.8
2213.51	0.8
2213.51	0.8
2213.51	0.8
2224.53	0.82
2303.31	0.78
2303.31	0.78
2303.31	0.78
2303.31	0.78
2303.31	0.78
2304.46	0.75
2304.46	0.75
2304.46	0.75
2304.46	0.75
2304.46	0.75
2304.46	0.75
2304.66	0.78
2304.66	0.78
2304.66	0.78
2304.66	0.78
2304.66	0.78
2311.88	0.77
2311.88	0.77
2311.88	0.77
2312.08	0.79
2312.08	0.79
2312.08	0.79
2399.98	0.74
2399.98	0.74
2399.98	0.74
2399.98	0.74
2399.98	0.74
2399.98	0.74
2399.98	0.74
2434.65	0.82
2434.65	0.82
2449.98	0.78
2449.98	0.78
2450.89	0.82
2450.89	0.82
2450.89	0.82
2450.89	0.82
2452.45	0.74
2452.45	0.74
2452.45	0.74
2452.45	0.74
2452.45	0.74
2467.78	0.75
2468.02	0.79
2468.02	0.79
2470.01	0.78
2489.6	0.82
2489.6	0.82
2497.01	0.77
2497.01	0.77
2497.01	0.77
2497.01	0.77
2497.01	0.77
2728.2	0.8
2979.31	0.75
2979.31	0.75
2979.51	0.77
3041.49	0.76
3053.32	0.74
3053.32	0.74
3053.32	0.74
3053.52	0.76
3404.86	0.82
3404.86	0.82
3404.86	0.82
3454.8	0.8
3534	0.79
3534.2	0.81
3558.19	0.86
3573.38	0.79
3649.08	0.79
3681.81	0.76
3682.01	0.79
3682.31	0.79
3725.53	0.79
3733.22	0.82
3733.22	0.82
3733.22	0.82
3896.39	0.77
3988.01	0.69
3988.12	0.8
4026.8	0.76
4034.21	0.66
4093.8	0.79
4131.73	0.66
4214.88	0.8
