complexity	coupling
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1018.12	1
1082.33	0.99
1188.01	1.13
1189.16	1.18
1189.16	1.18
1189.37	1.17
1189.37	1.17
1189.37	1.17
1189.37	1.17
1205.43	1.24
1205.43	1.24
1205.43	1.24
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.22
1283.56	1.27
1283.56	1.27
1283.56	1.27
1283.56	1.27
1283.77	1.31
1283.77	1.31
1283.77	1.31
1283.77	1.31
1450.31	1.1
1450.31	1.1
1450.31	1.1
1453.07	1.02
1453.07	1.02
1453.07	1.02
1453.07	1.02
1453.07	1.02
1453.07	1.02
1453.07	1.02
1453.07	1.02
1454.22	1.07
1489.09	1.35
1557.27	1.13
1557.27	1.13
1571.26	1.14
1571.26	1.14
1575.32	1.18
1575.32	1.18
1579.3	1.16
1579.3	1.16
1579.3	1.16
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.41	1.13
1583.61	1.17
1583.61	1.17
1583.61	1.17
1583.61	1.17
1583.61	1.17
1583.61	1.17
1583.61	1.17
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1601.03	1.29
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.18	1.35
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1602.39	1.39
1612.05	1.43
1637.66	1.13
1637.66	1.13
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1637.91	1.16
1671.65	1.2
1743.19	1.35
1744.16	1.13
1744.16	1.13
1744.16	1.13
1744.16	1.13
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.35	1.41
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.41	1.16
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1744.55	1.45
1748.52	1.13
1748.52	1.13
1748.52	1.13
1748.52	1.13
1748.52	1.13
1748.52	1.13
1757.45	1.24
1820.8	1.14
1820.8	1.14
1821.04	1.17
1821.04	1.17
1821.04	1.17
1821.04	1.17
1911.72	1.29
1911.72	1.29
1911.72	1.29
1911.72	1.29
1928.57	1.27
2078.13	1.31
2078.13	1.31
2078.13	1.31
2078.13	1.31
2106.18	1.35
2107.74	1.57
2139.28	1.17
2139.52	1.2
2139.52	1.2
2139.52	1.2
2139.52	1.2
2399.98	1.61
2399.98	1.61
2399.98	1.61
2399.98	1.61
2399.98	1.61
2399.98	1.61
2399.98	1.61
2405.59	1.24
2434.08	1.2
2434.65	1.42
2452.37	1.64
2452.37	1.64
2452.37	1.64
2452.37	1.64
2452.37	1.64
2489.6	1.42
2489.6	1.42
2728.2	1.38
3034.71	1.66
3052.16	1.7
3168.55	1.18
3168.55	1.18
3382.23	1.45
3404.86	1.39
3404.86	1.39
3454.8	1.54
3455	1.56
3475.58	1.57
3558.19	1.56
3573.38	1.53
3602.41	1.68
3653.33	1.59
3653.33	1.59
3667.57	1.66
3680.65	1.67
3680.86	1.68
3731.44	1.64
3731.68	1.6
3987.58	1.99
4026.8	1.77
4032.51	1.82
4093.71	1.77
4114.37	1.78
4214.8	1.75
