complexity	cohesion
21.81	0.42
25.9	0.55
31.63	0.48
31.88	0.53
32.03	0.46
32.03	0.46
32.08	0.55
32.28	0.47
32.36	0.42
32.52	0.54
32.52	0.54
32.8	0.53
34.7	0.44
35.13	0.45
35.32	0.46
35.36	0.51
35.67	0.56
35.73	0.45
35.96	0.5
36.16	0.44
36.27	0.45
36.4	0.44
36.47	0.53
36.7	0.42
36.87	0.43
37.69	0.55
38.3	0.44
38.67	0.5
39.62	0.44
41	0.42
41.33	0.43
41.62	0.43
41.85	0.48
42.08	0.56
42.91	0.45
43.21	0.44
43.33	0.38
43.44	0.43
44.12	0.42
44.25	0.38
44.28	0.42
45.19	0.42
45.38	0.44
45.66	0.38
45.84	0.37
46.41	0.37
46.5	0.36
46.9	0.36
47.02	0.43
47.16	0.36
47.83	0.52
48.47	0.42
48.53	0.47
48.64	0.44
49.08	0.35
49.08	0.35
49.24	0.35
49.37	0.36
50.06	0.37
50.65	0.36
50.89	0.49
50.93	0.5
51.58	0.27
51.58	0.27
52.6	0.35
54.15	0.34
54.38	0.43
54.4	0.36
54.4	0.36
54.54	0.39
56.66	0.42
56.89	0.42
57.01	0.41
57.19	0.39
57.48	0.37
57.48	0.37
57.84	0.42
58.73	0.32
59.18	0.28
59.38	0.42
59.56	0.29
65.18	0.39
65.56	0.39
112.9	0.48
115.4	0.45
115.41	0.42
115.44	0.44
118.01	0.44
121.36	0.44
123.75	0.44
126.5	0.44
127.06	0.44
129.37	0.38
136.9	0.5
137.61	0.5
137.61	0.5
137.61	0.5
140.53	0.46
140.97	0.5
141.18	0.36
141.34	0.5
141.74	0.42
144.56	0.51
144.82	0.42
145.99	0.41
146.17	0.45
146.17	0.45
147.53	0.42
147.57	0.38
147.7	0.41
148.72	0.46
148.83	0.45
150.02	0.46
150.03	0.42
150.26	0.5
150.81	0.48
150.82	0.48
150.82	0.48
151.75	0.48
154.08	0.4
155.41	0.44
155.41	0.44
155.64	0.42
155.82	0.48
158.68	0.27
159.29	0.48
159.57	0.48
159.8	0.45
160.09	0.45
160.09	0.48
161.05	0.34
162.22	0.37
165.16	0.47
165.16	0.47
172.66	0.35
172.66	0.42
173.62	0.42
174.43	0.35
182.63	0.45
186.75	0.43
187.02	0.43
188.78	0.43
192.77	0.42
192.77	0.42
194.74	0.4
207.24	0.45
207.93	0.4
207.93	0.4
217.87	0.39
218.37	0.37
222.1	0.42
227.66	0.45
228.07	0.45
233.41	0.43
234.87	0.36
237.12	0.4
242.31	0.44
247.79	0.44
248.02	0.37
248.25	0.37
253.25	0.4
257.81	0.41
262.56	0.4
265.35	0.48
267.51	0.37
267.77	0.38
272.95	0.38
278.92	0.24
315.3	0.4
335.48	0.39
344.64	0.32
349.28	0.36
369.09	0.41
370.33	0.34
372.12	0.34
377.63	0.38
380.02	0.31
381.57	0.44
382.7	0.32
382.85	0.31
388.71	0.29
389.71	0.41
393.19	0.49
394.23	0.35
401.01	0.35
402.15	0.45
402.15	0.45
402.15	0.45
405.4	0.34
415.91	0.21
460.39	0.33
484.77	0.35
500.59	0.35
503.2	0.43
504.5	0.34
505.47	0.35
506.7	0.45
506.93	0.37
508.29	0.4
511.18	0.36
512.12	0.34
512.45	0.44
513.78	0.3
515.26	0.44
516.2	0.42
522.46	0.35
537.06	0.3
539.38	0.31
540.59	0.35
549.01	0.37
553.31	0.37
556.33	0.32
560.61	0.4
563.11	0.32
565.08	0.43
570.86	0.26
571.57	0.32
586.57	0.33
597.23	0.35
601.38	0.42
614.2	0.43
616.65	0.25
617.42	0.42
618.57	0.18
626.94	0.41
626.98	0.33
628.24	0.23
628.43	0.32
631.13	0.44
634.93	0.35
635.39	0.39
637.41	0.34
638.88	0.29
644.38	0.21
652.7	0.24
672.37	0.33
685.57	0.38
689.64	0.34
689.92	0.35
691.98	0.48
693.54	0.18
695.7	0.43
702.73	0.33
720.12	0.33
739.2	0.37
754.96	0.33
765.32	0.4
779.58	0.4
797.24	0.45
798.41	0.33
814.7	0.25
823.58	0.15
823.58	0.15
823.84	0.32
829.02	0.31
839.31	0.23
859.84	0.19
861.19	0.16
868.81	0.34
893.96	0.19
894.81	0.22
895.49	0.3
897.05	0.25
904.04	0.22
933.68	0.29
936.86	0.19
974.94	0.34
976.15	0.22
1008.91	0.21
1010.48	0.15
1032.95	0.15
1093.02	0.15
1105.74	0.15
1149.74	0.2
1153.03	0.18
1200.21	0.2
1208.83	0.25
1224.01	0.15
1239.65	0.62
1292.66	0.16
1315.34	0.15
1324.26	0.16
1360.26	0.19
1376.78	0.19
1563.2	0.38
1637.22	0.17
