complexity	coupling
1.14	1.9
1.15	1.9
1.15	1.9
1.15	1.85
1.15	1.85
1.15	1.85
1.15	1.85
1.15	1.85
1.41	1.95
1.44	2.15
1.44	2.15
1.44	2.15
1.44	2.15
1.48	1.95
1.48	1.9
1.48	1.9
1.48	1.95
1.48	1.9
1.48	1.9
1.48	1.9
1.48	1.9
1.48	1.9
1.48	1.9
1.48	1.9
1.48	1.95
1.78	2.2
2.27	2.45
2.33	2.35
2.33	2.35
2.33	2.35
2.33	2.35
2.38	2.25
2.38	2.25
2.5	2.65
2.66	2.5
2.79	2.85
2.79	2.85
2.79	2.85
2.8	2.2
2.8	2.2
2.8	2.2
2.8	2.2
3.06	2.3
3.22	2.9
3.22	2.9
3.35	2.8
3.41	3.15
3.46	2.75
3.48	2.65
3.48	2.55
3.55	2.65
3.57	2.7
3.57	2.7
3.57	2.7
3.57	2.7
3.58	2.6
3.58	2.6
3.58	2.6
3.58	2.6
3.73	2.8
3.75	2.75
3.78	2.95
4	3
4	3
4.05	2.9
4.76	3
4.76	3
4.79	3.15
4.79	3.15
4.89	2.95
5.18	3.25
5.26	2.95
5.26	2.95
5.26	2.95
5.26	2.95
5.26	2.95
5.3	3.2
5.32	3.15
5.32	3.15
5.32	3.15
5.32	3.15
5.44	3.05
5.45	3.1
5.45	3.1
5.59	3.3
5.69	3.4
5.87	3.2
5.93	3.05
6.02	3.45
6.16	3.4
6.16	3.4
6.16	3.4
6.16	3.4
6.3	3.4
6.3	3.4
6.34	3.3
6.4	3.65
6.5	3.4
6.59	3.65
6.68	3.05
7.53	3.65
7.57	3.6
7.8	3.9
7.83	3.65
7.83	3.65
8.69	3.75
9.09	4.15
10.16	4.05
10.16	4.05
10.16	4.05
10.38	4.05
10.68	4.6
11.25	4.25
11.25	4.25
12.2	4.75
12.2	4.75
12.57	4.4
13.11	4.85
14.48	4.95
14.48	4.95
14.86	5
22.42	3.95
23.81	4.2
23.81	4.2
24.35	3.3
24.35	3.3
25.1	4.15
27.91	4.05
28.18	4.1
28.63	3.8
28.63	3.8
28.63	3.8
28.63	3.8
29.95	3.95
29.95	3.95
29.95	3.95
30.17	5.2
30.4	4.2
30.4	4.2
30.59	4.15
30.59	4.15
30.93	4.35
31.98	5.45
32.59	5.35
32.59	5.35
33.11	4.9
35.33	4.8
37.72	4.6
40.41	5.8
40.52	5.7
41.11	6.1
43.14	5.9
43.3	6.05
43.3	6.05
44.11	5.85
46.55	6.15
46.55	6.15
46.69	5.05
47.44	5.9
47.62	2.35
47.94	2.6
47.94	2.6
47.94	2.6
47.94	2.6
48	2.6
48.41	6.4
49.46	2.85
54.3	3.3
57.89	2.95
63.32	2.65
64.07	2.9
64.14	2.75
64.18	2.85
64.18	2.85
64.26	2.9
64.63	3.05
66.76	2.95
70.69	3.7
81.33	4.75
86.9	5
89.37	4.1
89.41	3.8
89.45	3.85
103.71	3.9
113.25	5.25
113.74	2.95
114.04	3.55
114.09	3.2
116.17	3.8
116.96	6.15
116.99	4.3
117.36	4.55
117.43	3.45
117.69	3.6
120.61	6.55
125.56	4.75
130.03	5.6
132.17	3.35
137.77	6.2
143.17	4.4
145.27	4.25
148.19	4.5
152.15	4.45
152.83	4.95
159.26	7.65
166.82	5.6
183.22	4.9
183.22	4.9
183.87	6.65
183.97	5.75
184.32	5.5
196.16	6.25
200.05	7.05
205.09	4.95
209.91	5.35
213.7	5.35
216.96	5.2
222	5.35
222.38	6.3
229.32	5.05
232.17	4.55
238.03	5.1
257.52	4.1
262.4	4.1
262.72	3.45
263.19	5.05
276.36	5.2
309.14	6.45
310.51	4.5
312.16	5.65
327.15	6.9
328.4	7.05
328.4	7.05
354.28	6.5
368.9	7
371.72	7.3
371.72	7.3
376.12	7.4
376.34	7.05
383.21	7.4
388.2	4.6
388.2	4.6
412.65	6.9
414.2	7.45
427.06	6.25
456.71	7.2
457.29	7.25
486.21	6.9
487.34	8.6
491.22	7.5
496.7	8.65
498.9	8.75
505.44	9.05
508.51	9.25
516.1	9.55
535.98	9.35
577.54	8.15
594.02	9.35
611.79	10.25
646.8	9.8
680.64	5.55
693.91	8.95
755.57	10.6
763.07	10.45
777.26	10.95
779.14	10.9
781.46	9.35
782.36	11.4
783.03	11.2
801.13	10
813.66	10
841.95	12.05
849.03	12.15
859.47	13.25
862.1	12.85
865.28	11.95
869.64	12.55
886.28	14.35
889.31	14.65
915.87	13.4
964.67	14.2
1171.07	14.45
1195.54	15.85
1235.91	13.7
1440.97	13.65
1625.46	15.5
