complexity	cohesion
65.89	0.55
65.89	0.55
76.59	0.57
92.07	0.52
92.07	0.52
92.07	0.52
92.07	0.52
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
116.7	0.53
126.48	0.57
126.48	0.57
146.15	0.53
146.2	0.53
146.2	0.53
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
153.92	0.49
164.7	0.52
164.7	0.52
178.65	0.56
178.65	0.56
180.61	0.53
180.76	0.58
181.48	0.56
181.48	0.56
181.48	0.49
186.86	0.58
186.86	0.58
188.49	0.46
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
199.95	0.51
204.62	0.47
205.04	0.45
216.46	0.34
216.46	0.34
216.46	0.34
219.34	0.44
219.34	0.44
219.34	0.44
222.26	0.42
231.26	0.44
233.69	0.44
234.85	0.51
236.34	0.51
236.34	0.51
236.34	0.51
236.34	0.51
240.84	0.47
242.39	0.47
242.39	0.47
242.39	0.47
242.53	0.5
242.53	0.5
242.57	0.55
247.16	0.44
247.16	0.44
256.07	0.44
256.07	0.44
259.86	0.48
262.16	0.45
262.16	0.45
262.16	0.45
262.17	0.43
262.32	0.37
263.8	0.45
269.03	0.43
275.11	0.46
276.6	0.46
281.46	0.46
281.46	0.46
281.98	0.45
285.63	0.44
287.51	0.42
288.22	0.4
289.92	0.42
289.92	0.42
297.39	0.45
297.75	0.42
300.83	0.38
303.55	0.42
306.59	0.45
306.84	0.45
306.84	0.45
312.8	0.46
323.52	0.37
327.02	0.4
328.99	0.5
328.99	0.5
328.99	0.5
328.99	0.5
329.74	0.33
330	0.34
330.63	0.5
330.75	0.5
330.75	0.5
330.8	0.49
330.8	0.49
330.8	0.49
330.8	0.49
330.8	0.49
330.8	0.49
330.8	0.49
336.84	0.48
336.89	0.53
336.89	0.53
336.89	0.53
336.89	0.53
337.39	0.46
337.58	0.46
338.32	0.43
338.32	0.43
340.97	0.3
345.33	0.48
345.33	0.48
345.33	0.48
345.33	0.48
345.33	0.48
345.33	0.48
349.31	0.51
354.68	0.33
354.68	0.33
354.94	0.33
354.94	0.33
377.79	0.47
380.05	0.36
381.69	0.49
384.16	0.49
384.68	0.49
385.3	0.49
385.34	0.48
389.16	0.52
397.29	0.49
397.29	0.49
397.29	0.49
398.81	0.49
398.81	0.49
398.81	0.49
398.81	0.49
400.4	0.49
401.29	0.49
401.29	0.49
402.81	0.5
402.86	0.49
402.86	0.49
402.86	0.49
402.86	0.49
405.92	0.32
406.18	0.32
408.52	0.52
415.61	0.35
415.61	0.35
415.61	0.35
415.61	0.35
416.09	0.35
422.54	0.46
430.69	0.5
430.69	0.5
434.29	0.5
436.51	0.49
438.48	0.57
438.48	0.57
443.23	0.53
445.02	0.32
450.61	0.44
453.84	0.32
503.84	0.32
504.11	0.32
532.33	0.45
539.16	0.49
585.61	0.43
682.25	0.5
734.06	0.55
750.7	0.56
812.4	0.39
819.22	0.46
946.87	0.55
