complexity	coupling
343.33	1.22
344.97	1.24
368.26	1.28
369.89	1.29
371.33	1.23
372.54	1.08
372.54	1.08
372.54	1.08
372.54	1.08
372.54	1.08
372.54	1.08
372.54	1.08
394.39	1.16
398.52	1.17
400.8	1.13
404.98	1.21
404.98	1.21
404.98	1.21
422	1.1
422	1.1
422	1.1
428.46	1.14
431.21	1.1
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
432.68	1.22
437.8	1.16
442.3	1.2
443.94	1.21
452.17	1.22
455.2	1.05
460.98	1.19
463.5	1.09
463.5	1.09
463.5	1.09
463.5	1.09
463.5	1.09
464.16	1.13
468.78	1.23
468.83	1.19
468.86	1.16
468.86	1.16
473.75	1.26
473.75	1.26
473.75	1.26
482.6	1.11
483.9	1.28
483.9	1.28
483.9	1.28
483.9	1.28
487.56	1.16
491.98	1.23
491.98	1.23
492.02	1.21
492.76	1.28
492.96	1.28
492.96	1.28
506.42	1.26
506.46	1.27
506.46	1.27
506.46	1.27
506.46	1.27
507.35	1.35
507.35	1.35
507.38	1.11
507.55	1.38
508.03	1.15
508.03	1.14
508.03	1.14
508.03	1.14
508.03	1.14
508.03	1.15
508.03	1.14
508.03	1.14
508.89	1.23
508.89	1.23
508.89	1.23
508.89	1.23
509.38	1.28
509.38	1.28
510.52	1.23
510.52	1.23
510.82	1.26
511.39	1.18
511.39	1.18
512.7	1.21
512.7	1.21
512.86	1.29
512.86	1.29
512.86	1.29
512.86	1.29
516.93	1.26
516.93	1.26
517.19	1.28
517.19	1.28
517.19	1.28
518.45	1.2
518.83	1.24
518.83	1.29
519.12	1.28
532.26	1.21
532.26	1.21
532.26	1.21
536.84	1.32
536.84	1.32
542.89	1.25
544.77	1.19
553.3	1.29
563.2	1.34
584.82	1.33
604.4	1.39
604.4	1.39
604.6	1.42
618.64	1.43
638.45	1.37
638.45	1.37
638.45	1.37
692.75	1.22
694.48	1.37
700.48	1.36
701.16	1.38
703.33	1.37
703.67	1.32
704.52	1.36
704.52	1.36
704.52	1.36
704.52	1.36
704.52	1.36
704.52	1.36
704.52	1.36
704.52	1.36
704.52	1.36
704.52	1.36
704.66	1.34
704.71	1.39
705.46	1.33
705.46	1.33
706.14	1.36
706.14	1.36
711.7	1.34
713.48	1.36
713.89	1.3
713.89	1.3
730.95	1.37
733.98	1.43
734.77	1.39
735.96	1.38
735.96	1.38
735.96	1.38
735.96	1.38
735.96	1.38
735.96	1.38
735.96	1.38
735.96	1.38
735.96	1.38
735.96	1.38
736.9	1.36
736.9	1.36
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
737.58	1.38
744.82	1.38
753.12	1.49
753.81	1.3
754.75	1.49
754.75	1.49
755.2	1.31
763.96	1.38
763.96	1.38
763.96	1.38
764.9	1.4
769.15	1.42
769.15	1.42
782.79	1.33
782.79	1.33
782.79	1.33
782.79	1.33
783.15	1.49
784.17	1.33
784.17	1.33
784.17	1.33
784.17	1.33
792.15	1.37
792.15	1.37
793.53	1.37
799.62	1.42
801.25	1.47
801.25	1.47
801.25	1.47
801.25	1.47
817.48	1.52
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
825.67	1.43
832.54	1.5
833.73	1.49
841.61	1.41
846.93	1.53
847.5	1.43
849.96	1.57
858.15	1.46
858.15	1.46
858.15	1.46
858.15	1.46
882.97	1.51
884.06	1.44
887.74	1.46
905.07	1.35
980.7	1.63
1053.77	1.62
1095.9	1.54
