Codebase,Feature,Orchestrator,Entities,Initial System Complexity,Final System Complexity,System Complexity Reduction,Initial Functionality Complexity,Final Functionality Complexity,Functionality Complexity Reduction,Initial Invocations Count,Initial Invocations Count W/ Empties,Final Invocations Count,Total Invocation Merges,Initial Accesses count,Final Accesses count,Total Trace Sweeps w/ Merges,Clusters with multiple invocations,CLIP,CRIP,CROP,CWOP,CIP,CDDIP,COP,CPIF,CIOF,SCCP,FCCP
ldod-static,VirtualEditionController.approveParticipant,1,"Member, VirtualEdition, ",29,29,0,192,115,77,6,7,4,3,7,5,2,1,0.333333,0.666667,0.750000,0.250000,0.500000,0.000000,0.571429,1.800000,1.200000,1.000000,0.437500
ldod-static,VirtualEditionController.approveParticipant,2,"LdoDUser, ",29,29,0,192,115,77,6,8,4,4,7,5,2,1,0.000000,1.000000,1.000000,0.000000,0.333333,0.000000,0.285714,1.200000,0.900000,0.000000,0.437500
ldod-static,VirtualEditionController.approveParticipant,0,"LdoD, ",29,29,0,192,117,75,6,10,4,3,7,5,1,1,0.000000,1.000000,1.000000,0.000000,0.166667,0.000000,0.142857,0.000000,0.900000,0.000000,0.119792
ldod-static,VirtualEditionController.switchRole,0,"LdoD, ",28,28,0,293,126,167,8,14,4,5,11,6,1,1,0.000000,1.000000,1.000000,0.000000,0.125000,0.000000,0.090909,0.000000,0.800000,0.000000,0.075085
ldod-static,VirtualEditionController.switchRole,2,"LdoDUser, ",28,29,-1,293,130,163,8,10,4,6,11,6,2,1,0.000000,1.000000,1.000000,0.000000,0.375000,0.000000,0.272727,1.285714,0.800000,0.000000,0.430034
ldod-static,VirtualEditionController.switchRole,1,"Member, VirtualEdition, ",28,29,-1,293,131,162,8,9,4,5,11,6,2,1,0.250000,0.750000,0.857143,0.142857,0.500000,0.000000,0.636364,1.714286,1.400000,1.000000,0.491468
ldod-static,FragmentController.getTaxonomy,0,"LdoD, ",272,136,136,318,158,160,11,20,3,11,14,6,3,0,0.000000,1.000000,1.000000,0.000000,0.090909,1.000000,0.071429,0.000000,0.833333,0.000000,0.072327
ldod-static,FragmentController.getTaxonomy,2,"LdoDUser, ",272,136,136,318,161,157,11,13,4,9,14,7,1,1,0.400000,0.600000,0.600000,0.400000,0.454545,0.200000,0.357143,1.666667,0.833333,0.426471,0.396226
ldod-static,FragmentController.getTaxonomy,1,"Member, Section, VirtualEdition, VirtualEditionInter, ",272,79,193,318,162,156,11,12,4,7,14,7,1,1,0.400000,0.600000,0.750000,0.250000,0.454545,0.400000,0.571429,1.333333,1.333333,0.573529,0.518868
ldod-static,VirtualEditionController.createClassificationGame,1,"VirtualEdition, VirtualEditionInter, Taxonomy, ",277,219,58,176,137,39,9,11,3,6,11,5,1,0,0.500000,0.500000,0.666667,0.333333,0.444444,0.500000,0.545455,0.750000,1.285714,0.487365,0.727273
ldod-static,VirtualEditionController.createClassificationGame,2,"LdoDUser, ",277,221,56,176,137,39,9,14,4,7,11,6,1,1,0.500000,0.500000,0.500000,0.500000,0.222222,0.500000,0.181818,1.800000,0.857143,0.209386,0.238636
ldod-static,VirtualEditionController.createClassificationGame,3,"ClassificationGame, ",277,222,55,176,140,36,9,12,3,6,11,5,1,1,1.000000,0.000000,0.000000,1.000000,0.333333,0.666667,0.272727,0.450000,0.857143,0.303249,0.000000
ldod-static,RecommendationController.presentEditionWithRecommendation,1,"Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, RecommendationWeights, ",153,145,8,358,211,147,11,11,4,7,19,11,1,1,0.333333,0.666667,0.785714,0.214286,0.545455,0.166667,0.736842,0.500000,1.615385,0.614379,0.776536
ldod-static,RecommendationController.presentEditionWithRecommendation,0,"LdoD, Edition, ",153,144,9,358,214,144,11,16,4,9,19,11,2,1,0.000000,1.000000,1.000000,0.000000,0.272727,0.333333,0.157895,1.000000,0.692308,0.000000,0.094972
ldod-static,RecommendationController.presentEditionWithRecommendation,2,"LdoDUser, ",153,146,7,358,215,143,11,18,4,9,19,10,2,1,0.500000,0.500000,0.500000,0.500000,0.181818,0.500000,0.105263,1.500000,0.692308,0.385621,0.117318
ldod-static,VirtualEditionController.addParticipant,1,"Member, VirtualEdition, ",195,164,31,197,115,82,8,9,4,5,10,6,2,1,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.600000,1.714286,1.285714,0.697436,0.426396
ldod-static,VirtualEditionController.addParticipant,2,"LdoDUser, ",195,166,29,197,117,80,8,10,4,5,10,6,1,2,0.333333,0.666667,0.666667,0.333333,0.375000,0.333333,0.300000,1.285714,0.857143,0.302564,0.436548
ldod-static,VirtualEditionController.addParticipant,0,"LdoD, ",195,166,29,197,118,79,8,14,4,5,10,6,1,1,0.000000,1.000000,1.000000,0.000000,0.125000,0.000000,0.100000,0.000000,0.857143,0.000000,0.116751
ldod-static,RecommendationController.setLinearVirtualEdition,2,"LdoDUser, ",153,143,10,402,211,191,12,20,4,11,22,11,2,1,0.500000,0.500000,0.500000,0.500000,0.166667,0.500000,0.090909,1.421053,0.620690,0.379085,0.106965
ldod-static,RecommendationController.setLinearVirtualEdition,0,"ExpertEdition, LdoD, Edition, ",153,145,8,402,216,186,12,16,4,9,22,12,2,1,0.000000,1.000000,1.000000,0.000000,0.333333,0.250000,0.272727,1.105263,0.931035,0.000000,0.166667
ldod-static,RecommendationController.setLinearVirtualEdition,1,"Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, RecommendationWeights, ",153,146,7,402,216,186,12,13,4,9,22,12,1,1,0.333333,0.666667,0.785714,0.214286,0.500000,0.166667,0.636364,0.473684,1.448276,0.620915,0.716418
ldod-static,VirtualEditionController.deleteTaxonomy,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",968,408,560,269,186,83,17,20,3,15,34,11,1,1,0.714286,0.285714,0.384615,0.615385,0.411765,0.857143,0.382353,0.210000,1.064846,0.203512,0.416357
ldod-static,VirtualEditionController.deleteTaxonomy,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",968,653,315,269,186,83,17,19,4,15,34,16,1,1,0.875000,0.125000,0.263158,0.736842,0.470588,0.625000,0.558824,0.270000,1.361775,0.676653,0.494424
ldod-static,VirtualEditionController.deleteTaxonomy,2,"LdoDUser, ",968,469,499,269,189,80,17,30,4,15,34,12,2,1,1.000000,0.000000,0.000000,1.000000,0.117647,1.000000,0.058824,2.520000,0.573379,0.119835,0.000000
ldod-static,VirtualEditionController.deleteCategory,2,"LdoDUser, ",750,463,287,258,182,76,17,30,4,15,31,12,2,1,1.000000,0.000000,0.000000,1.000000,0.117647,1.000000,0.064516,2.520000,0.617647,0.154667,0.000000
ldod-static,VirtualEditionController.deleteCategory,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",750,407,343,258,185,73,17,20,3,15,31,11,1,1,0.714286,0.285714,0.384615,0.615385,0.411765,0.857143,0.419355,0.210000,1.147059,0.253333,0.414729
ldod-static,VirtualEditionController.deleteCategory,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",750,536,214,258,189,69,17,19,4,15,31,16,1,1,0.875000,0.125000,0.312500,0.687500,0.470588,0.625000,0.516129,0.270000,1.235294,0.592000,0.503876
ldod-static,VirtualEditionController.removeClassificationGame,2,"LdoDUser, ",680,379,301,278,184,94,18,32,3,16,30,11,2,1,1.000000,0.000000,0.000000,1.000000,0.111111,1.000000,0.066667,2.172414,0.666667,0.170588,0.000000
ldod-static,VirtualEditionController.removeClassificationGame,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",680,402,278,278,203,75,18,21,4,16,30,12,1,1,0.625000,0.375000,0.428571,0.571429,0.444444,0.625000,0.466667,0.465517,1.166667,0.279412,0.464029
ldod-static,VirtualEditionController.removeClassificationGame,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",680,410,270,278,235,43,18,20,5,13,30,14,1,2,0.625000,0.375000,0.357143,0.642857,0.444444,0.500000,0.466667,0.362069,1.166667,0.550000,0.467626
ldod-static,AdminController.removeTweets,1,"Annotation, VirtualEditionInter, Range, ",447,387,60,151,107,44,14,24,6,9,30,15,1,2,1.000000,0.000000,0.333333,0.666667,0.142857,1.000000,0.200000,0.909091,1.500000,0.275168,0.251656
ldod-static,AdminController.removeTweets,0,"FragInter, Fragment, LdoD, ",447,391,56,151,109,42,14,18,6,10,30,14,1,0,0.600000,0.400000,0.400000,0.600000,0.357143,0.800000,0.166667,1.818182,0.500000,0.434004,0.304636
ldod-static,AdminController.removeTweets,4,"Tweet, TwitterCitation, AwareAnnotation, Citation, InfoRange, LastTwitterID, ",447,395,52,151,120,31,14,17,6,9,30,15,1,1,1.000000,0.000000,0.444444,0.555556,0.428571,0.666667,0.600000,1.272727,1.500000,0.158837,0.324503
ldod-static,AdminController.removeTweets,2,"LdoDUser, ",447,397,50,151,122,29,14,26,7,9,30,15,3,2,1.000000,0.000000,0.000000,1.000000,0.071429,1.000000,0.033333,0.000000,0.500000,0.131991,0.000000
ldod-static,FragmentController.getFragmentWithInterForUrlId,2,"LdoDUser, ",276,136,140,718,296,422,19,28,4,18,52,33,2,1,0.400000,0.600000,0.600000,0.400000,0.263158,0.200000,0.096154,0.773196,0.358209,0.427536,0.179666
ldod-static,FragmentController.getFragmentWithInterForUrlId,1,"Member, Section, VirtualEdition, VirtualEditionInter, ",276,78,198,718,301,417,19,22,4,18,52,33,1,1,0.250000,0.750000,0.818182,0.181818,0.421053,0.250000,0.211538,0.618557,0.492537,0.572464,0.363510
ldod-static,FragmentController.getFragmentWithInterForUrlId,0,"AddText, AltText, AltTextWeight, AnnexNote, UnclearText, AppText, DelText, ExpertEdition, ExpertEditionInter, FragInter, Fragment, GapText, LbText, LdoD, NoteText, NullEdition, PbText, RdgGrpText, RdgText, RefText, Rend, SegText, SimpleText, SourceInter, SpaceText, Surface, TextPortion, ",276,136,140,718,302,416,19,27,3,18,52,32,3,0,0.000000,1.000000,1.000000,0.000000,0.315789,0.166667,0.692308,1.608248,2.149254,0.000000,0.451253
ldod-static,ClassificationGameController.end,2,"LdoDUser, ",392,309,83,611,319,292,13,19,5,11,34,14,1,2,0.250000,0.750000,0.750000,0.250000,0.307692,0.750000,0.117647,1.490683,0.375000,0.147959,0.206219
ldod-static,ClassificationGameController.end,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",392,329,63,611,338,273,13,14,6,8,34,17,1,2,0.666667,0.333333,0.722222,0.277778,0.461538,0.333333,0.529412,0.670807,1.125000,0.298469,0.477905
ldod-static,ClassificationGameController.end,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",392,330,62,611,356,255,13,20,6,10,34,17,3,3,0.666667,0.333333,0.500000,0.500000,0.230769,0.666667,0.352941,0.838509,1.500000,0.553571,0.296236
ldod-static,AdminController.loadUsersXML,3,"Player, ",699,173,526,379,105,274,25,46,4,22,32,7,1,1,1.000000,0.000000,0.333333,0.666667,0.080000,1.000000,0.093750,0.884718,1.125000,0.025751,0.058047
ldod-static,AdminController.loadUsersXML,2,"LdoDUser, RegistrationToken, Role, UserConnection, ",699,317,382,379,146,233,25,27,6,20,32,9,1,1,0.833333,0.166667,0.333333,0.666667,0.480000,0.416667,0.562500,0.965147,1.125000,0.487840,0.469657
ldod-static,AdminController.loadUsersXML,0,"LdoD, ",699,317,382,379,147,232,25,28,6,21,32,9,2,1,0.363636,0.636364,0.636364,0.363636,0.440000,0.727273,0.343750,1.150134,0.750000,0.486409,0.424802
ldod-static,FragmentController.createAnnotation,0,"ExpertEdition, SimpleText, LdoD, Edition, ",736,302,434,1108,341,767,25,44,5,21,61,21,1,2,0.666667,0.333333,0.600000,0.400000,0.120000,0.666667,0.081967,1.457311,0.769231,0.048913,0.028881
ldod-static,FragmentController.createAnnotation,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",736,376,360,1108,389,719,25,26,6,19,61,25,1,2,0.500000,0.500000,0.630435,0.369565,0.480000,0.416667,0.754098,0.635918,1.769231,0.710598,0.679603
ldod-static,FragmentController.createAnnotation,2,"LdoDUser, ",736,434,302,1108,390,718,25,31,6,21,61,25,1,2,0.300000,0.700000,0.700000,0.300000,0.400000,0.400000,0.163934,0.906771,0.461538,0.240489,0.271661
ldod-static,FragmentController.deleteAnnotation,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",958,462,496,431,250,181,27,40,5,23,45,15,1,2,0.714286,0.285714,0.384615,0.615385,0.259259,0.857143,0.288889,0.489796,1.285171,0.205637,0.252900
ldod-static,FragmentController.deleteAnnotation,1,"Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",958,546,412,431,252,179,27,29,6,23,45,17,1,1,0.769231,0.230769,0.360000,0.640000,0.481481,0.615385,0.555556,0.571429,1.330798,0.575157,0.484919
ldod-static,FragmentController.deleteAnnotation,2,"LdoDUser, ",958,527,431,431,256,175,27,44,6,24,45,16,2,1,0.600000,0.400000,0.400000,0.600000,0.185185,0.600000,0.111111,2.448979,0.692015,0.181628,0.194896
ldod-static,FragmentController.deleteAnnotation,0,"SimpleText, ",958,557,401,431,262,169,27,50,5,25,45,16,2,1,1.000000,0.000000,0.000000,1.000000,0.074074,1.000000,0.044444,0.489796,0.692015,0.037578,0.000000
ldod-static,VirtualEditionController.mergeCategories,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",1537,410,1127,483,188,295,33,38,3,31,60,11,1,1,0.714286,0.285714,0.384615,0.615385,0.424242,0.857143,0.433333,0.311675,1.147059,0.256344,0.463768
ldod-static,VirtualEditionController.mergeCategories,2,"LdoDUser, ",1537,467,1070,483,188,295,33,58,4,43,60,12,2,1,1.000000,0.000000,0.000000,1.000000,0.121212,1.000000,0.066667,2.341029,0.617647,0.150943,0.000000
ldod-static,VirtualEditionController.mergeCategories,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",1537,656,881,483,218,265,33,37,5,30,60,18,1,2,0.866667,0.133333,0.266667,0.733333,0.454545,0.666667,0.500000,0.347295,1.235294,0.592713,0.449275
ldod-static,FragmentController.updateAnnotation,2,"LdoDUser, ",1203,715,488,1563,538,1025,37,51,8,32,92,29,2,2,0.333333,0.666667,0.666667,0.333333,0.324324,0.333333,0.130435,1.997399,0.415721,0.192851,0.214971
ldod-static,FragmentController.updateAnnotation,0,"ExpertEdition, LdoD, Edition, ",1203,653,550,1563,593,970,37,72,8,35,92,32,6,2,0.000000,1.000000,1.000000,0.000000,0.027027,0.000000,0.032609,0.000000,1.247162,0.000000,0.019194
ldod-static,FragmentController.updateAnnotation,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",1203,649,554,1563,616,947,37,60,8,30,92,32,1,3,0.714286,0.285714,0.384615,0.615385,0.189189,0.857143,0.141304,0.915475,0.772052,0.157938,0.068458
ldod-static,FragmentController.updateAnnotation,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",1203,740,463,1563,700,863,37,40,9,31,92,39,1,2,0.470588,0.529412,0.671875,0.328125,0.459459,0.411765,0.695652,1.087126,1.565066,0.649210,0.676264
ldod-static,VirtualEditionController.dissociate,2,"LdoDUser, ",1685,530,1155,825,268,557,43,72,6,41,80,16,2,1,0.714286,0.285714,0.285714,0.714286,0.162791,0.714286,0.087500,2.427167,0.654971,0.172107,0.101818
ldod-static,VirtualEditionController.dissociate,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",1685,462,1223,825,326,499,43,58,6,39,80,18,2,3,0.714286,0.285714,0.384615,0.615385,0.325581,0.857143,0.325000,0.626012,1.216374,0.233828,0.271515
ldod-static,VirtualEditionController.dissociate,0,"SimpleText, ",1685,645,1040,825,380,445,43,82,7,54,80,23,1,2,1.000000,0.000000,0.000000,1.000000,0.046512,1.000000,0.025000,0.428324,0.654971,0.021365,0.000000
ldod-static,VirtualEditionController.dissociate,1,"Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",1685,655,1030,825,392,433,43,47,7,38,80,23,1,2,0.800000,0.200000,0.422222,0.577778,0.465116,0.650000,0.562500,0.518497,1.473684,0.572700,0.567273
ldod-static,AdminController.removeUser,2,"LdoDUser, RegistrationToken, Role, UserConnection, ",2634,709,1925,1269,358,911,63,84,8,57,113,23,2,1,0.571429,0.428571,0.517241,0.482759,0.333333,0.809524,0.256637,1.159011,0.836302,0.253986,0.418440
ldod-static,AdminController.removeUser,0,"LdoD, ",2634,921,1713,1269,418,851,63,118,8,82,113,28,6,2,0.750000,0.250000,0.250000,0.750000,0.063492,0.750000,0.035398,0.565371,0.605598,0.096811,0.017336
ldod-static,AdminController.removeUser,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",2634,740,1894,1269,432,837,63,93,8,57,113,26,1,2,0.705882,0.294118,0.432432,0.567568,0.269841,0.705882,0.327434,1.201414,1.318066,0.185270,0.282900
ldod-static,AdminController.removeUser,1,"Member, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, RecommendationWeights, ",2634,1126,1508,1269,432,837,63,84,10,57,113,32,1,2,0.857143,0.142857,0.302326,0.697674,0.333333,0.571429,0.380531,1.074205,1.240034,0.463933,0.227738
ldod-static,VirtualEditionController.associateCategory,2,"LdoDUser, ",2140,520,1620,1765,445,1320,60,95,7,59,130,29,2,2,0.538462,0.461538,0.461538,0.538462,0.216667,0.615385,0.100000,0.854557,0.551181,0.189720,0.142776
ldod-static,VirtualEditionController.associateCategory,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",2140,473,1667,1765,539,1226,60,92,6,55,130,28,1,3,0.714286,0.285714,0.384615,0.615385,0.233333,0.857143,0.200000,0.325818,1.023622,0.176636,0.121246
ldod-static,VirtualEditionController.associateCategory,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",2140,888,1252,1765,703,1062,60,64,10,52,130,42,1,2,0.642857,0.357143,0.571429,0.428571,0.466667,0.500000,0.646154,0.255954,1.653543,0.616822,0.665722
ldod-static,VirtualEditionController.associateCategory,0,"ExpertEdition, FragInter, SimpleText, LdoD, Edition, ",2140,906,1234,1765,717,1048,60,110,10,74,130,42,2,2,0.400000,0.600000,0.714286,0.285714,0.083333,0.400000,0.053846,2.563671,0.771654,0.016822,0.035694
ldod-static,VirtualEditionController.createVirtualEdition,2,"LdoDUser, ",2030,560,1470,2501,213,2288,88,147,4,93,152,17,2,1,0.133333,0.866667,0.866667,0.133333,0.170455,0.200000,0.098684,1.945339,0.628272,0.058128,0.223511
ldod-static,VirtualEditionController.createVirtualEdition,1,"Member, Section, VirtualEdition, VirtualEditionInter, Taxonomy, ",2030,525,1505,2501,475,2026,88,96,8,85,152,37,2,1,0.425000,0.575000,0.633803,0.366197,0.454545,0.300000,0.467105,0.458901,1.115183,0.736453,0.515394
ldod-static,VirtualEditionController.createVirtualEdition,0,"ExpertEdition, ExpertEditionInter, FragInter, Fragment, NullEdition, SourceInter, Heteronym, LdoD, Edition, LdoDDate, ",2030,643,1387,2501,478,2023,88,110,9,80,152,40,1,1,0.333333,0.666667,0.833333,0.166667,0.375000,0.454545,0.434211,0.595760,1.256544,0.205419,0.245502
