Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,CDDIP,COP,CPIF,CIOF,SCCP,FCCP,Orchestrator
ldod-static,VirtualEditionController.approveParticipant,1,0.333333,0.666667,0.750000,0.250000,0.500000,0.000000,0.571429,1.800000,1.200000,1.000000,0.437500,1
ldod-static,VirtualEditionController.approveParticipant,0,0.000000,1.000000,1.000000,0.000000,0.166667,0.000000,0.142857,0.000000,0.900000,0.000000,0.119792,0
ldod-static,VirtualEditionController.approveParticipant,2,0.000000,1.000000,1.000000,0.000000,0.333333,0.000000,0.285714,1.200000,0.900000,0.000000,0.437500,0
ldod-static,VirtualEditionController.switchRole,1,0.250000,0.750000,0.857143,0.142857,0.500000,0.000000,0.636364,1.714286,1.400000,1.000000,0.491468,0
ldod-static,VirtualEditionController.switchRole,0,0.000000,1.000000,1.000000,0.000000,0.125000,0.000000,0.090909,0.000000,0.800000,0.000000,0.075085,1
ldod-static,VirtualEditionController.switchRole,2,0.000000,1.000000,1.000000,0.000000,0.375000,0.000000,0.272727,1.285714,0.800000,0.000000,0.430034,0
ldod-static,FragmentController.getTaxonomy,1,0.400000,0.600000,0.750000,0.250000,0.454545,0.400000,0.571429,1.333333,1.333333,0.573529,0.518868,0
ldod-static,FragmentController.getTaxonomy,2,0.400000,0.600000,0.600000,0.400000,0.454545,0.200000,0.357143,1.666667,0.833333,0.426471,0.396226,0
ldod-static,FragmentController.getTaxonomy,0,0.000000,1.000000,1.000000,0.000000,0.090909,1.000000,0.071429,0.000000,0.833333,0.000000,0.072327,1
ldod-static,VirtualEditionController.createClassificationGame,1,0.500000,0.500000,0.666667,0.333333,0.444444,0.500000,0.545455,0.750000,1.285714,0.487365,0.727273,1
ldod-static,VirtualEditionController.createClassificationGame,2,0.500000,0.500000,0.500000,0.500000,0.222222,0.500000,0.181818,1.800000,0.857143,0.209386,0.238636,0
ldod-static,VirtualEditionController.createClassificationGame,3,1.000000,0.000000,0.000000,1.000000,0.333333,0.666667,0.272727,0.450000,0.857143,0.303249,0.000000,0
ldod-static,RecommendationController.presentEditionWithRecommendation,1,0.333333,0.666667,0.785714,0.214286,0.545455,0.166667,0.736842,0.500000,1.615385,0.614379,0.776536,1
ldod-static,RecommendationController.presentEditionWithRecommendation,2,0.500000,0.500000,0.500000,0.500000,0.181818,0.500000,0.105263,1.500000,0.692308,0.385621,0.117318,0
ldod-static,RecommendationController.presentEditionWithRecommendation,0,0.000000,1.000000,1.000000,0.000000,0.272727,0.333333,0.157895,1.000000,0.692308,0.000000,0.094972,0
ldod-static,VirtualEditionController.addParticipant,1,0.500000,0.500000,0.500000,0.500000,0.500000,0.250000,0.600000,1.714286,1.285714,0.697436,0.426396,1
ldod-static,VirtualEditionController.addParticipant,0,0.000000,1.000000,1.000000,0.000000,0.125000,0.000000,0.100000,0.000000,0.857143,0.000000,0.116751,0
ldod-static,VirtualEditionController.addParticipant,2,0.333333,0.666667,0.666667,0.333333,0.375000,0.333333,0.300000,1.285714,0.857143,0.302564,0.436548,0
ldod-static,RecommendationController.setLinearVirtualEdition,0,0.000000,1.000000,1.000000,0.000000,0.333333,0.250000,0.272727,1.105263,0.931035,0.000000,0.166667,0
ldod-static,RecommendationController.setLinearVirtualEdition,1,0.333333,0.666667,0.785714,0.214286,0.500000,0.166667,0.636364,0.473684,1.448276,0.620915,0.716418,0
ldod-static,RecommendationController.setLinearVirtualEdition,2,0.500000,0.500000,0.500000,0.500000,0.166667,0.500000,0.090909,1.421053,0.620690,0.379085,0.106965,1
ldod-static,VirtualEditionController.deleteTaxonomy,1,0.875000,0.125000,0.263158,0.736842,0.470588,0.625000,0.558824,0.270000,1.361775,0.676653,0.494424,0
ldod-static,VirtualEditionController.deleteTaxonomy,2,1.000000,0.000000,0.000000,1.000000,0.117647,1.000000,0.058824,2.520000,0.573379,0.119835,0.000000,0
ldod-static,VirtualEditionController.deleteTaxonomy,3,0.714286,0.285714,0.384615,0.615385,0.411765,0.857143,0.382353,0.210000,1.064846,0.203512,0.416357,1
ldod-static,VirtualEditionController.deleteCategory,3,0.714286,0.285714,0.384615,0.615385,0.411765,0.857143,0.419355,0.210000,1.147059,0.253333,0.414729,0
ldod-static,VirtualEditionController.deleteCategory,1,0.875000,0.125000,0.312500,0.687500,0.470588,0.625000,0.516129,0.270000,1.235294,0.592000,0.503876,0
ldod-static,VirtualEditionController.deleteCategory,2,1.000000,0.000000,0.000000,1.000000,0.117647,1.000000,0.064516,2.520000,0.617647,0.154667,0.000000,1
ldod-static,VirtualEditionController.removeClassificationGame,3,0.625000,0.375000,0.428571,0.571429,0.444444,0.625000,0.466667,0.465517,1.166667,0.279412,0.464029,0
ldod-static,VirtualEditionController.removeClassificationGame,2,1.000000,0.000000,0.000000,1.000000,0.111111,1.000000,0.066667,2.172414,0.666667,0.170588,0.000000,1
ldod-static,VirtualEditionController.removeClassificationGame,1,0.625000,0.375000,0.357143,0.642857,0.444444,0.500000,0.466667,0.362069,1.166667,0.550000,0.467626,0
ldod-static,AdminController.removeTweets,4,1.000000,0.000000,0.444444,0.555556,0.428571,0.666667,0.600000,1.272727,1.500000,0.158837,0.324503,0
ldod-static,AdminController.removeTweets,1,1.000000,0.000000,0.333333,0.666667,0.142857,1.000000,0.200000,0.909091,1.500000,0.275168,0.251656,1
ldod-static,AdminController.removeTweets,2,1.000000,0.000000,0.000000,1.000000,0.071429,1.000000,0.033333,0.000000,0.500000,0.131991,0.000000,0
ldod-static,AdminController.removeTweets,0,0.600000,0.400000,0.400000,0.600000,0.357143,0.800000,0.166667,1.818182,0.500000,0.434004,0.304636,0
ldod-static,FragmentController.getFragmentWithInterForUrlId,0,0.000000,1.000000,1.000000,0.000000,0.315789,0.166667,0.692308,1.608248,2.149254,0.000000,0.451253,0
ldod-static,FragmentController.getFragmentWithInterForUrlId,1,0.250000,0.750000,0.818182,0.181818,0.421053,0.250000,0.211538,0.618557,0.492537,0.572464,0.363510,0
ldod-static,FragmentController.getFragmentWithInterForUrlId,2,0.400000,0.600000,0.600000,0.400000,0.263158,0.200000,0.096154,0.773196,0.358209,0.427536,0.179666,1
ldod-static,ClassificationGameController.end,3,0.666667,0.333333,0.722222,0.277778,0.461538,0.333333,0.529412,0.670807,1.125000,0.298469,0.477905,0
